,bathrooms,lotAreaUnit_0,lotAreaUnit_1,lotAreaValue,bedrooms,livingArea,city_0,city_1,city_2,city_3,city_4,city_5,price,homeType_0,homeType_1,homeType_2,zipcode_0,zipcode_1,zipcode_2,zipcode_3,zipcode_4,zipcode_5,taxAssessedValue,rentZestimate,zestimate,lotAreaValuenan,taxAssessedValuenan,rentZestimatenan,zestimatenan
0,0.15384615384615385,0.0,1.0,3.593791777231771e-05,0.26666666666666666,0.1357650192364605,0.0,0.0,0.0,0.0,0.0,1.0,0.029397000800055615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024147553850178773,0.058789081562937176,0.03964426577029298,0.0,0.0,0.0,0.0
1,0.07692307692307693,1.0,0.0,1.0,0.26666666666666666,0.13347144125480911,0.0,0.0,0.0,0.0,1.0,0.0,0.023889915192548773,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01928141623790006,0.05869147932459251,0.032389382025793265,0.0,0.0,0.0,0.0
2,0.23076923076923078,1.0,0.0,0.762622651106901,0.26666666666666666,0.24193548387096775,0.0,0.0,0.0,0.0,1.0,1.0,0.10419556011089526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05700706374814686,0.1780915508995673,0.14805368107227013,0.0,0.0,0.0,0.0
3,0.23076923076923078,0.0,1.0,7.740523415504076e-05,0.2,0.13465522343888725,0.0,0.0,0.0,1.0,0.0,0.0,0.032781274397403415,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02521147641056946,0.080847357319586,0.037710193153889675,0.0,1.0,1.0,1.0
4,0.23076923076923078,1.0,0.0,0.4768667664339582,0.26666666666666666,0.1453832494820953,0.0,0.0,0.0,0.0,1.0,1.0,0.018894082739321073,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.015235022237725649,0.05416924228128965,0.02510916108544547,0.0,0.0,0.0,0.0
5,0.15384615384615385,1.0,0.0,0.6020980619097819,0.26666666666666666,0.11238532110091744,0.0,0.0,0.0,0.0,1.0,0.0,0.019949931644897563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.018147728263713265,0.080847357319586,0.037710193153889675,0.0,0.0,1.0,1.0
6,0.15384615384615385,1.0,0.0,0.6823603565083415,0.3333333333333333,0.14856466410180527,0.0,0.0,0.0,1.0,0.0,1.0,0.023895194437076654,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.022106915496642537,0.0492240622051599,0.03292990887055226,0.0,0.0,0.0,0.0
7,0.07692307692307693,1.0,0.0,0.6450397717638907,0.2,0.10964782480023676,0.0,0.0,0.0,1.0,1.0,0.0,0.018332815689514625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01681346472486265,0.04580798386309659,0.02439971960169928,0.0,0.0,0.0,0.0
8,0.15384615384615385,0.0,1.0,2.432825384473992e-05,0.2,0.2224030778336786,0.0,0.0,0.0,1.0,1.0,1.0,0.03555982414892049,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.036757652393825765,0.07147737254774376,0.047228533060817715,0.0,0.0,0.0,0.0
9,0.07692307692307693,1.0,0.0,0.3070350684487169,0.2,0.109499852027227,0.0,0.0,0.0,0.0,1.0,0.0,0.0236176173169001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02083369669486352,0.04349806422227283,0.03204310701586953,0.0,0.0,0.0,0.0
10,0.15384615384615385,0.0,1.0,1.7046828327479377e-05,0.13333333333333333,0.11926605504587157,0.0,0.0,0.0,1.0,1.0,1.0,0.037782663950134146,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04308014301909829,0.08250642548069102,0.05253245272501541,0.0,0.0,0.0,0.0
11,0.23076923076923078,1.0,0.0,0.31330124070210613,0.2,0.12207753773305713,0.0,0.0,0.0,0.0,1.0,1.0,0.025451460152901367,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0014214703060957531,0.03816247519276442,0.037710193153889675,0.0,0.0,0.0,1.0
12,0.15384615384615385,1.0,0.0,0.6886265287617307,0.3333333333333333,0.1777153003847292,0.0,0.0,1.0,0.0,0.0,0.0,0.027229731993872297,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.02578704107438737,0.07791912027849172,0.036409550433688334,0.0,0.0,0.0,0.0
13,0.07692307692307693,0.0,1.0,4.9760779659267666e-05,0.26666666666666666,0.07701982835158332,0.0,0.0,1.0,0.0,0.0,1.0,0.02222828687014653,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010054940263364438,0.027198490418713597,0.030277949038453416,0.0,0.0,0.0,0.0
14,0.3076923076923077,0.0,1.0,0.00023866702008785545,0.26666666666666666,0.23897602841077242,0.0,0.0,1.0,0.0,1.0,0.0,0.10280628523513671,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.08496555332693817,0.12385724045938121,0.15282551962365817,0.0,0.0,0.0,0.0
15,0.15384615384615385,0.0,1.0,4.607521907351234e-05,0.2,0.13132583604616752,0.0,0.0,1.0,0.0,1.0,1.0,0.02222278534163853,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02213307752681608,0.080847357319586,0.037710193153889675,0.0,0.0,1.0,1.0
