bathrooms,state,isFeatured,isPremierBuilder,isShowcaseListing,isPreforeclosureAuction,longitude,isNonOwnerOccupied,lotAreaUnit,lotAreaValue,homeStatus,daysOnZillow,latitude,country,bedrooms,livingArea,streetAddress,isZillowOwned,shouldHighlight,zpid,homeStatusForHDP,isUnmappable,listing_sub_type,city,price,homeType,currency,zipcode,priceForHDP,taxAssessedValue,rentZestimate,zestimate,priceChange,datePriceChanged,priceReduction,unit,open_house_info,openHouse,videoCount,newConstructionType,priceSuffix,group_type,providerListingID
1,RI,False,False,False,False,-71.71802,True,acres,0.76000918273646,FOR_SALE,-1,41.51849,USA,3,964,69 Fairview Ave,False,False,83088335,FOR_SALE,False,{'is_FSBA': True},Hope Valley,200000,MANUFACTURED,USD,02832,200000,89200.0,1356.0,206200.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.81803,True,acres,0.4,FOR_SALE,-1,41.35956,USA,4,1632,15 Lovat Ln,False,False,65875822,FOR_SALE,False,{'is_FSBA': True},Westerly,437900,SINGLE_FAMILY,USD,02891,437900,231700.0,2614.0,452200.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.25423,True,acres,0.26999540863177,FOR_SALE,-1,41.588657,USA,2,1289,88 Middle Rd,False,False,66076197,FOR_SALE,False,{'is_FSBA': True},Portsmouth,469000,SINGLE_FAMILY,USD,02871,469000,285500.0,,,,,,,,,,,,,
1,RI,False,False,False,False,-71.60103,True,sqft,8707.0,FOR_SALE,-1,41.69897,USA,2,640,181 Ayoho Rd,False,False,81845032,FOR_SALE,False,{'is_FSBA': True},Coventry,179828,SINGLE_FAMILY,USD,02816,179828,98900.0,1749.0,182900.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.453705,True,sqft,6000.0,FOR_SALE,-1,41.792572,USA,3,1002,80 Standish Ave,False,False,65968897,FOR_SALE,False,{'is_FSBA': True},Cranston,349000,SINGLE_FAMILY,USD,02920,349000,204400.0,2394.0,350400.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.51491,True,acres,0.5,FOR_SALE,-1,41.435097,USA,2,988,5 Benefit Rd,False,False,65887059,FOR_SALE,False,{'is_FSBA': True},South Kingstown,499000,SINGLE_FAMILY,USD,02879,499000,244000.0,2500.0,506800.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.47604,True,sqft,0.12,FOR_SALE,-1,41.612183,USA,3,990,67 Old Baptist Rd,False,False,65966359,FOR_SALE,False,{'is_FSBA': True},North Kingstown,329000,SINGLE_FAMILY,USD,02852,329000,195800.0,2398.0,335200.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.425674,True,sqft,7405.0,FOR_SALE,-1,41.933052,USA,3,1496,8 Ryan Ave,False,False,66095350,FOR_SALE,False,{'is_FSBA': True},Cumberland,399900,SINGLE_FAMILY,USD,02864,399900,225100.0,3140.0,409700.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.42302,True,acres,0.78500918273646,FOR_SALE,-1,41.96398,USA,3,1638,331 Scott Rd,False,False,65942350,FOR_SALE,False,{'is_FSBA': True},Cumberland,409000,SINGLE_FAMILY,USD,02864,409000,264500.0,3140.0,434300.0,,,,,,,,,,,
3,RI,False,False,False,False,-71.47434,True,acres,0.53000459136823,FOR_SALE,-1,41.546185,USA,3,1716,175 W Allenton Rd,False,False,65830471,FOR_SALE,False,{'is_FSBA': True},North Kingstown,475000,SINGLE_FAMILY,USD,02852,475000,247500.0,,,,,,,,,,,,,
