iter	RMSE
234	98146.80617
235	97730.21254
236	97413.03992
237	96373.273
238	95949.98558
239	94899.99216
240	94500.66767
241	94139.13483
242	93836.89362
243	93451.43982
244	93165.84516
245	92865.45906
246	92558.65701
247	92280.38291
248	91982.63284
249	91654.09016
250	91384.95323
251	91033.78823
252	90153.62846
253	89838.774
254	89572.34465
255	89242.91557
256	88999.66837
257	88733.28144
258	87776.70051
259	87512.52789
260	87103.91643
261	86869.71554
262	85970.04627
263	85689.28631
264	85459.94014
265	84595.3612
266	84316.47311
267	83856.4253
268	83399.62754
269	83100.79948
270	82282.71333
271	82010.56192
272	81752.14454
273	81396.6646
274	80617.43146
275	80379.76579
276	80135.14724
277	79906.45866
278	79214.64554
279	78828.57924
280	78099.15778
281	77873.26364
282	77494.90894
283	77272.48452
284	77045.81978
285	76265.70523
286	76055.29497
287	75705.59186
288	75481.3081
289	74700.17456
290	74503.56179
291	74310.88117
292	74116.92471
293	73370.33756
294	72676.90391
295	72397.50997
296	72074.29044
297	71896.65054
298	71721.30999
299	71402.20454
300	70703.51199
301	70128.14847
302	69819.48618
303	69685.08106
304	69514.81003
305	68772.49054
306	68632.05592
307	68468.96054
308	68335.08251
309	67642.50222
310	67356.05096
311	67209.10182
312	67069.48925
313	66408.13939
314	66289.21915
315	65653.01267
316	65492.05575
317	65346.25661
318	64716.3661
319	64581.20642
320	63994.46185
321	63829.43041
322	63237.46165
323	63070.25766
324	62914.1391
325	62778.91858
326	62655.62131
327	62114.19515
328	61994.65318
329	61895.12115
330	61387.2082
331	60931.55785
332	60374.38215
333	60232.57627
334	59731.51499
335	59581.8309
336	59090.93214
337	58591.60103
338	58473.62546
339	58353.16151
340	57886.8852
341	57428.25779
342	57313.76962
343	57173.43948
344	56681.95308
345	56546.25955
346	56203.17058
347	55711.04274
348	55580.26393
349	55473.74673
350	55014.64919
351	54603.0897
352	54502.93349
353	54336.88499
354	54046.34709
355	53609.97915
356	53509.6326
357	53096.00242
358	52861.55651
359	52770.07038
360	52546.66081
361	52449.05428
362	52349.27495
363	51964.08064
364	51817.65373
365	51468.09418
366	51099.3449
367	50986.76971
368	50905.98282
369	50546.08462
370	50451.72391
371	50365.62882
372	50018.71347
373	49930.43467
374	49509.9225
375	49388.36831
376	49141.6059
377	49083.67301
378	48948.92803
379	48576.57801
380	48473.47925
381	48384.86869
382	48013.11104
383	47693.05837
384	47457.33341
385	47375.87242
386	47060.57919
387	46969.16315
388	46868.99531
389	46815.96443
390	46425.14739
391	46359.9465
392	46030.39447
393	45694.77164
394	45625.81051
395	45314.74386
396	45016.74627
397	44713.05394
398	44385.6367
399	44117.42947
400	44076.85275
401	44037.29694
402	43998.69401
403	43863.42348
404	43585.23951
405	43547.86071
406	43484.28253
407	43452.28186
408	43178.15026
409	43143.64476
410	43113.4825
411	43080.56031
412	43049.50681
413	42768.6213
414	42559.19389
415	42322.90875
416	42055.66696
417	41793.46551
418	41763.44022
419	41527.16147
420	41268.75882
421	41188.98864
422	40921.84646
423	40691.88047
424	40434.7096
425	40164.10422
426	40134.89026
427	39940.36566
428	39689.44879
429	39613.7828
430	39436.8394
431	39349.72941
432	39264.58006
433	39169.5567
434	38952.68709
435	38869.48143
436	38611.38174
437	38399.26263
438	38363.28806
439	38107.17097
440	37907.7307
441	37828.54814
442	37662.12659
443	37584.08673
444	37562.53817
445	37475.60595
446	37400.33817
447	37379.87504
448	37306.83855
449	37191.07454
450	37117.52333
451	37047.59809
452	37017.1639
453	36793.40688
454	36636.70719
455	36459.74227
456	36381.63071
457	36313.09009
458	36252.87638
459	36234.96845
460	36169.17325
461	36104.97783
462	35911.94258
463	35747.61261
464	35685.54268
465	35625.4084
466	35550.18061
467	35382.76864
468	35321.9829
469	35158.34082
470	35099.9201
471	35042.86432
472	34987.13603
473	34931.0761
474	34877.78989
475	34678.83458
476	34512.17237
477	34285.5041
478	34233.09098
479	34096.67705
480	34081.37955
481	34030.0325
482	33979.89385
483	33932.6138
484	33894.10157
485	33739.77199
486	33691.33027
487	33552.19629
488	33505.2872
489	33458.81666
490	33273.15314
491	33059.67875
492	32921.52974
493	32885.30805
494	32841.10831
495	32825.56232
496	32791.76554
497	32635.8596
498	32593.76937
499	32469.09492
500	32311.51017
501	32299.0053
502	32257.05802
503	32200.38184
504	32061.78042
505	32020.82443
506	31988.59151
507	31887.53414
508	31725.23144
509	31621.84147
510	31575.52216
511	31530.18034
512	31410.06273
513	31266.67112
514	31154.26795
515	31015.04095
516	30814.20354
517	30678.65932
518	30519.11283
519	30379.69353
520	30329.69302
521	30203.57689
522	30154.46177
523	29994.49795
524	29836.21195
525	29824.98211
526	29706.71071
527	29685.29013
528	29637.91123
529	29549.17667
530	29467.5639
531	29313.21358
532	29267.79292
533	29254.48136
534	29148.10424
535	29018.362
536	29006.62484
537	28944.61423
538	28902.89744
539	28861.34352
540	28754.2094
541	28709.10031
542	28559.83641
543	28549.10329
544	28388.06898
545	28346.99497
546	28316.58952
547	28168.01585
548	28031.33176
549	27997.85691
550	27890.99825
551	27758.25465
552	27715.77283
553	27621.31912
554	27504.99755
555	27463.54252
556	27431.24523
557	27282.55221
558	27250.99376
559	27235.99589
560	27225.78124
561	27190.0355
562	27094.78251
563	27072.48223
564	26943.19756
565	26859.81399
566	26848.27704
567	26819.07156
568	26704.97331
569	26667.92661
570	26631.60227
571	26618.65829
572	26580.68081
573	26470.79817
574	26381.77524
575	26347.01194
576	26235.46474
577	26122.31086
578	26014.18349
579	25915.31679
580	25845.70255
581	25814.9114
582	25787.19654
583	25694.66424
584	25578.4638
585	25545.75518
586	25438.53939
587	25346.90909
588	25317.26339
589	25238.12677
590	25211.92498
591	25111.17493
592	24987.80287
593	24894.69412
594	24811.15254
595	24786.48581
596	24705.41714
597	24678.88061
598	24653.04414
599	24543.62935
600	24462.71591
601	24376.71923
602	24274.03174
603	24219.99512
604	24207.79802
605	24178.37295
606	24073.73744
607	24047.21839
608	24000.09256
609	23881.37891
610	23751.37693
611	23727.47888
612	23699.57571
613	23590.33613
614	23500.25231
615	23396.45851
616	23312.76255
617	23225.32198
618	23179.82598
619	23074.70289
620	23046.86223
621	22971.82882
622	22887.06254
623	22870.07956
624	22790.6407
625	22704.43006
626	22599.007
627	22587.69473
628	22538.83093
629	22491.44463
630	22407.38087
631	22329.76129
632	22288.02145
633	22233.75932
634	22168.30915
635	22140.51505
636	22102.67716
637	22033.2031
638	21954.52716
639	21912.27351
640	21840.95269
641	21803.57668
642	21743.19372
643	21701.82014
644	21636.97926
645	21545.6417
646	21489.86178
647	21381.57382
648	21302.68534
649	21279.25128
650	21203.68378
651	21125.72009
652	21104.95676
653	21015.56998
654	20941.37998
655	20933.70204
656	20826.69329
657	20819.35199
658	20741.99792
659	20670.38509
660	20663.21705
661	20643.29767
662	20624.54153
663	20550.45026
664	20529.18784
665	20449.54105
666	20430.81484
667	20350.96711
668	20293.87133
669	20260.67633
670	20253.83785
671	20216.28827
672	20129.09695
673	20049.14373
674	19960.61568
675	19921.3873
676	19841.23852
677	19803.90675
678	19724.94871
679	19718.34637
680	19702.27465
681	19632.20611
682	19576.08115
683	19554.13612
684	19523.79191
685	19462.63648
686	19426.73474
687	19408.96585
688	19390.64473
689	19327.41615
690	19297.62285
691	19229.28666
692	19223.29651
693	19174.11334
694	19107.90344
695	19081.30852
696	19004.57595
697	18939.66501
698	18905.95012
699	18844.87396
700	18797.74282
701	18741.96462
702	18698.56456
703	18693.10629
704	18687.48468
705	18682.26842
706	18639.73728
707	18625.34955
708	18583.95162
709	18508.95688
710	18494.93878
711	18479.54547
712	18418.82415
713	18343.98633
714	18282.15616
715	18268.71656
716	18263.48909
717	18250.36229
718	18237.33699
719	18184.19817
720	18123.33418
721	18065.13009
722	18040.84302
723	18000.18702
724	17959.9488
725	17879.68861
726	17867.19988
727	17856.92501
728	17845.56678
729	17785.36234
730	17762.36158
731	17727.25547
732	17723.1425
733	17711.82007
734	17651.39585
735	17595.25529
736	17556.23835
737	17532.44049
738	17498.99615
739	17494.47308
740	17482.95674
741	17458.74219
742	17406.16311
743	17394.95401
744	17338.87856
745	17268.1101
746	17221.09296
747	17199.34857
748	17188.78299
749	17168.69663
750	17097.05609
751	17088.44201
752	17046.99575
753	17042.88049
754	17022.86697
755	17004.14058
756	16994.551
757	16936.58715
758	16902.46133
759	16876.9506
760	16872.63197
761	16858.41564
762	16782.01796
763	16738.18466
764	16732.24552
765	16672.41951
766	16622.47009
767	16604.52826
768	16570.95598
769	16556.27101
770	16506.09405
771	16458.19855
772	16420.53654
773	16371.62755
774	16367.58701
775	16335.9157
776	16282.06328
777	16228.33145
778	16209.67275
779	16154.15269
780	16140.72953
781	16088.85681
782	16043.50606
783	15989.68647
784	15960.5712
785	15926.21085
786	15864.01745
787	15855.14184
788	15800.09397
789	15747.87515
790	15696.31794
791	15639.48428
792	15634.17018
793	15588.62051
794	15545.37424
795	15473.30994
796	15465.59829
797	15430.44963
798	15413.71679
799	15386.42506
800	15353.31648
801	15337.49006
802	15285.90458
803	15243.80738
804	15205.14439
805	15147.53087
806	15132.09297
807	15121.25852
808	15105.35405
809	15048.71917
810	15027.30492
811	15018.12531
812	15013.11391
813	14950.9292
814	14917.04093
815	14889.5881
816	14849.49352
817	14791.13221
818	14786.21098
819	14752.2204
820	14704.40356
821	14679.10421
822	14634.82012
823	14616.74311
824	14612.01745
825	14586.6238
826	14556.7911
827	14550.36554
828	14511.64474
829	14475.18811
830	14470.82164
831	14453.09245
832	14400.80908
833	14390.85466
834	14384.3561
835	14358.87707
836	14346.97368
837	14334.05894
838	14326.48574
839	14291.33762
840	14270.79031
841	14227.94309
842	14187.98527
843	14134.28686
844	14114.08358
845	14083.33224
846	14074.04586
847	14065.19351
848	14030.18741
849	14008.28337
850	13977.84938
851	13966.6764
852	13941.29128
853	13920.92043
854	13916.71513
855	13910.80252
856	13864.52298
857	13857.51523
858	13822.64365
859	13772.3286
860	13740.2915
861	13707.29993
862	13664.40595
863	13655.51507
864	13608.3317
865	13566.06014
866	13558.07686
867	13508.09853
868	13502.90292
869	13458.9845
870	13448.08213
871	13418.40045
872	13409.75655
873	13382.27271
874	13370.21702
875	13323.53626
876	13306.60686
877	13263.97545
878	13248.65222
879	13208.20752
880	13175.6652
881	13150.35674
882	13145.35091
883	13115.8416
884	13109.53745
885	13082.69634
886	13061.12977
887	13051.53632
888	13012.64616
889	12981.91372
890	12966.75091
891	12928.25808
892	12885.14412
893	12882.71973
894	12870.83419
895	12867.16592
896	12862.40481
897	12825.47118
898	12798.93863
899	12774.13159
900	12740.24704
901	12723.93902
902	12714.44338
903	12684.96907
904	12656.16564
905	12650.72297
906	12618.03085
907	12604.79025
908	12576.6386
909	12565.75439
910	12558.18559
911	12548.3787
912	12544.9565
913	12532.2136
914	12500.70739
915	12493.32604
916	12486.04201
917	12483.87327
918	12478.92352
919	12452.54177
920	12425.22876
921	12415.5219
922	12390.43904
923	12358.13354
924	12344.26997
925	12299.03231
926	12260.52441
927	12226.55017
928	12190.10925
929	12171.93618
930	12163.14589
931	12155.33529
932	12123.94811
933	12094.64148
934	12062.05525
935	12058.88515
936	12039.32424
937	12035.00589
938	12030.70288
939	12026.20635
940	11982.3413
941	11950.36093
942	11943.95005
943	11941.78171
944	11908.29564
945	11882.55171
946	11854.2556
947	11821.0801
948	11818.99651
949	11793.26985
950	11780.16348
951	11752.4413
952	11727.92803
953	11713.32103
954	11711.27636
955	11683.85765
956	11681.85055
957	11674.58506
958	11660.39899
959	11629.72504
960	11625.52486
961	11605.59341
962	11578.97152
963	11556.83144
964	11523.25757
965	11520.48423
966	11505.51203
967	11493.58613
968	11488.74393
969	11454.12878
970	11434.95672
971	11432.14281
972	11430.50868
973	11424.24727
974	11401.87042
975	11383.69279
976	11347.84184
977	11324.05823
978	11320.11669
979	11289.76352
980	11285.43602
981	11264.14393
982	11229.119
983	11206.20353
984	11190.34967
985	11169.38404
986	11153.50592
987	11151.39998
988	11124.95433
989	11095.0648
990	11072.40846
991	11051.79247
992	11018.49998
993	11009.02587
994	10991.69692
995	10965.15913
996	10931.88895
997	10902.48986
998	10899.00465
999	10873.31668
