iter	Passed	Remaining
155	524	2837
156	526	2827
157	529	2821
158	532	2814
159	535	2808
160	538	2804
161	540	2796
162	543	2791
163	546	2785
164	549	2779
165	552	2773
166	554	2768
167	557	2760
168	560	2754
169	563	2748
170	565	2743
171	568	2738
172	571	2732
173	574	2724
174	577	2720
175	579	2711
176	581	2705
177	584	2699
178	587	2693
179	589	2687
180	592	2680
181	595	2675
182	597	2669
183	600	2663
184	603	2657
185	606	2652
186	608	2646
187	611	2640
188	614	2634
189	616	2630
190	619	2623
191	622	2619
192	625	2613
193	628	2609
194	630	2603
195	633	2597
196	635	2591
197	638	2585
198	640	2579
199	643	2573
200	646	2568
201	648	2563
202	651	2558
203	654	2552
204	656	2547
205	659	2541
206	661	2534
207	664	2529
208	666	2524
209	669	2518
210	671	2512
211	674	2508
212	677	2502
213	679	2497
214	682	2492
215	685	2487
216	688	2483
217	691	2478
218	693	2473
219	696	2469
220	699	2464
221	701	2459
222	704	2453
223	706	2449
224	709	2444
225	712	2439
226	714	2434
227	717	2429
228	720	2424
229	722	2419
230	725	2414
231	727	2409
232	730	2404
233	733	2400
234	735	2395
235	738	2390
236	741	2385
237	743	2381
238	746	2376
239	748	2371
240	751	2367
241	754	2362
242	757	2358
243	759	2354
244	762	2349
245	765	2344
246	767	2339
247	770	2335
248	772	2330
249	775	2325
250	777	2321
251	780	2317
252	783	2312
253	785	2308
254	788	2303
255	791	2298
256	793	2294
257	796	2289
258	799	2286
259	801	2279
260	803	2275
261	806	2270
262	808	2266
263	811	2261
264	814	2258
265	816	2253
266	819	2249
267	821	2244
268	824	2240
269	827	2236
270	829	2232
271	832	2227
272	834	2223
273	837	2218
274	839	2214
275	842	2209
276	844	2205
277	847	2200
278	849	2196
279	852	2192
280	855	2187
281	857	2183
282	860	2178
283	862	2174
284	864	2169
285	867	2165
286	870	2162
287	872	2158
288	875	2153
289	878	2149
290	880	2145
291	883	2141
292	885	2137
293	888	2133
294	890	2129
295	893	2125
296	896	2121
297	898	2116
298	901	2112
299	903	2108
300	906	2104
301	908	2100
302	911	2097
303	914	2093
304	917	2089
305	919	2085
306	922	2082
307	924	2077
308	927	2073
309	930	2070
310	932	2066
311	935	2062
312	937	2058
313	940	2054
314	942	2050
315	945	2046
316	948	2042
317	950	2038
318	952	2034
319	955	2030
320	958	2026
321	960	2022
322	964	2020
323	966	2017
324	969	2013
325	972	2011
326	975	2007
327	978	2004
328	980	2000
329	983	1996
330	986	1993
331	988	1989
332	991	1985
333	994	1982
334	997	1979
335	999	1976
336	1002	1972
337	1005	1970
338	1008	1967
339	1011	1963
340	1014	1960
341	1017	1956
342	1019	1953
343	1023	1952
344	1026	1948
345	1029	1945
346	1031	1941
347	1034	1938
348	1037	1934
349	1039	1931
350	1042	1928
351	1045	1924
352	1048	1921
353	1051	1918
354	1053	1914
355	1056	1911
356	1059	1907
357	1062	1904
358	1064	1901
359	1067	1897
360	1070	1894
361	1073	1891
362	1075	1887
363	1078	1884
364	1081	1880
365	1084	1878
366	1087	1875
367	1089	1871
368	1092	1867
369	1095	1864
370	1097	1861
371	1100	1857
372	1102	1854
373	1105	1850
374	1108	1847
375	1110	1843
376	1113	1840
377	1116	1836
378	1118	1832
379	1121	1829
380	1124	1826
381	1126	1822
382	1129	1819
383	1131	1815
384	1134	1812
385	1137	1808
386	1139	1805
387	1142	1801
388	1145	1798
389	1147	1795
390	1150	1792
391	1153	1788
392	1155	1785
393	1158	1781
394	1160	1778
395	1163	1774
396	1165	1771
397	1168	1767
398	1171	1764
399	1173	1760
400	1176	1757
401	1179	1753
402	1181	1750
403	1184	1747
404	1187	1744
405	1189	1740
406	1192	1737
407	1194	1733
408	1197	1729
409	1199	1726
410	1202	1723
411	1205	1720
412	1208	1717
413	1210	1714
414	1213	1711
415	1216	1708
416	1219	1704
417	1222	1701
418	1224	1698
419	1227	1694
420	1230	1691
421	1232	1688
422	1235	1685
423	1237	1681
424	1240	1678
425	1243	1675
426	1245	1671
427	1248	1668
428	1251	1665
429	1253	1661
430	1256	1658
431	1258	1655
432	1261	1651
433	1263	1648
434	1266	1645
435	1269	1641
436	1271	1638
437	1274	1635
438	1277	1632
439	1279	1628
440	1282	1625
441	1285	1623
442	1288	1620
443	1291	1616
444	1293	1613
445	1296	1610
446	1299	1607
447	1301	1604
448	1304	1601
449	1307	1597
450	1309	1594
451	1312	1591
452	1314	1587
453	1317	1584
454	1320	1581
455	1322	1578
456	1325	1574
457	1327	1571
458	1330	1568
459	1332	1564
460	1335	1561
461	1337	1557
462	1340	1554
463	1343	1551
464	1345	1548
465	1348	1545
466	1350	1541
467	1353	1538
468	1356	1535
469	1358	1532
470	1361	1529
471	1364	1525
472	1366	1522
473	1369	1519
474	1371	1516
475	1374	1513
476	1376	1509
477	1379	1506
478	1381	1502
479	1384	1499
480	1386	1496
481	1389	1493
482	1391	1489
483	1394	1486
484	1397	1483
485	1399	1480
486	1402	1477
487	1404	1473
488	1407	1470
489	1409	1467
490	1412	1464
491	1415	1461
492	1417	1457
493	1419	1454
494	1422	1451
495	1425	1448
496	1427	1444
497	1430	1441
498	1432	1438
499	1435	1435
500	1437	1432
501	1440	1429
502	1443	1425
503	1445	1422
504	1448	1419
505	1450	1416
506	1453	1413
507	1455	1410
508	1458	1406
509	1461	1403
510	1463	1400
511	1466	1397
512	1468	1394
513	1471	1391
514	1474	1388
515	1476	1385
516	1479	1381
517	1481	1378
518	1484	1375
519	1487	1372
520	1489	1369
521	1492	1366
522	1495	1363
523	1498	1360
524	1500	1357
525	1503	1354
526	1505	1351
527	1508	1348
528	1511	1346
529	1514	1342
530	1517	1340
531	1519	1337
532	1522	1333
533	1525	1330
534	1527	1327
535	1531	1325
536	1533	1322
537	1536	1319
538	1539	1316
539	1541	1313
540	1544	1310
541	1547	1307
542	1549	1304
543	1552	1301
544	1555	1298
545	1557	1295
546	1560	1292
547	1563	1289
548	1565	1286
549	1569	1283
550	1571	1280
551	1574	1277
552	1577	1275
553	1581	1272
554	1584	1270
555	1588	1268
556	1592	1266
557	1596	1264
558	1600	1262
559	1603	1259
560	1606	1257
561	1609	1254
562	1612	1251
563	1616	1249
564	1619	1247
565	1623	1244
566	1626	1241
567	1629	1239
568	1632	1236
569	1635	1234
570	1638	1230
571	1641	1228
572	1644	1225
573	1648	1223
574	1650	1220
575	1653	1216
576	1655	1213
577	1658	1210
578	1660	1207
579	1663	1204
580	1666	1201
581	1669	1198
582	1671	1195
583	1674	1192
584	1676	1189
585	1679	1186
586	1682	1183
587	1684	1180
588	1687	1177
589	1689	1174
590	1692	1170
591	1694	1168
592	1697	1164
593	1700	1162
594	1702	1159
595	1705	1156
596	1708	1153
597	1710	1149
598	1712	1146
599	1715	1143
600	1717	1140
601	1720	1137
602	1722	1134
603	1725	1131
604	1727	1128
605	1730	1125
606	1733	1122
607	1735	1118
608	1738	1116
609	1740	1113
610	1743	1109
611	1746	1107
612	1749	1104
613	1752	1101
614	1755	1099
615	1759	1096
616	1761	1093
617	1764	1090
618	1767	1088
619	1785	1094
620	1788	1091
621	1791	1088
622	1794	1085
623	1798	1083
624	1800	1080
625	1803	1077
626	1806	1074
627	1809	1071
628	1812	1068
629	1815	1066
630	1818	1063
631	1820	1060
632	1823	1057
633	1826	1054
634	1828	1051
635	1831	1048
636	1834	1045
637	1837	1042
638	1840	1039
639	1842	1036
640	1845	1033
641	1848	1030
642	1850	1027
643	1853	1024
644	1856	1021
645	1859	1018
646	1861	1015
647	1864	1012
648	1867	1009
649	1870	1007
650	1873	1004
651	1875	1001
652	1878	998
653	1880	995
654	1883	992
655	1886	989
656	1889	986
657	1891	983
658	1894	980
659	1897	977
660	1900	974
661	1902	971
662	1905	968
663	1908	965
664	1911	962
665	1914	960
666	1917	957
667	1919	954
668	1922	951
669	1925	948
670	1928	945
671	1930	942
672	1933	939
673	1936	936
674	1939	933
675	1941	930
676	1944	927
677	1947	924
678	1949	921
679	1952	918
680	1954	915
681	1957	912
682	1960	909
683	1962	906
684	1965	903
685	1968	900
686	1970	897
687	1973	894
688	1975	891
689	1978	889
690	1981	886
691	1983	883
692	1986	879
693	1989	876
694	1991	874
695	1994	871
696	1997	868
697	2000	865
698	2002	862
699	2005	859
700	2008	856
701	2010	853
702	2013	850
703	2015	847
704	2018	844
705	2021	841
706	2024	838
707	2027	836
708	2029	833
709	2032	830
710	2034	827
711	2037	824
712	2040	821
713	2043	818
714	2045	815
715	2048	812
716	2050	809
717	2053	806
718	2056	803
719	2059	800
720	2061	797
721	2064	794
722	2067	791
723	2069	789
724	2072	786
725	2075	783
726	2078	780
727	2080	777
728	2083	774
729	2086	771
730	2089	768
731	2091	765
732	2094	763
733	2097	760
734	2100	757
735	2103	754
736	2105	751
737	2108	748
738	2110	745
739	2113	742
740	2116	739
741	2119	736
742	2131	737
743	2137	735
744	2142	733
745	2149	731
746	2155	730
747	2161	728
748	2167	726
749	2172	724
750	2177	721
751	2180	719
752	2184	716
753	2187	713
754	2190	710
755	2193	708
756	2196	705
757	2199	702
758	2202	699
759	2204	696
760	2208	693
761	2211	690
762	2214	687
763	2217	684
764	2219	681
765	2222	679
766	2225	676
767	2228	673
768	2231	670
769	2233	667
770	2236	664
771	2239	661
772	2242	658
773	2244	655
774	2247	652
775	2250	649
776	2253	646
777	2256	643
778	2259	640
779	2262	638
780	2265	635
781	2268	632
782	2270	629
783	2273	626
784	2276	623
785	2280	620
786	2283	618
787	2286	615
788	2289	612
789	2292	609
790	2295	606
791	2297	603
792	2300	600
793	2303	597
794	2306	594
795	2309	591
796	2311	588
797	2314	585
798	2317	582
799	2320	580
800	2322	577
801	2326	574
802	2328	571
803	2331	568
804	2334	565
805	2337	562
806	2340	559
807	2343	556
808	2346	553
809	2349	551
810	2351	548
811	2354	545
812	2357	542
813	2359	539
814	2362	536
815	2365	533
816	2368	530
817	2370	527
818	2373	524
819	2376	521
820	2379	518
821	2381	515
822	2385	512
823	2387	510
824	2390	507
825	2393	504
826	2395	501
827	2398	498
828	2401	495
829	2404	492
830	2406	489
831	2409	486
832	2412	483
833	2415	480
834	2417	477
835	2420	474
836	2423	471
837	2426	468
838	2428	466
839	2431	463
840	2434	460
841	2436	457
842	2439	454
843	2442	451
844	2445	448
845	2447	445
846	2450	442
847	2453	439
848	2455	436
849	2458	433
850	2461	430
851	2463	427
852	2466	425
853	2469	422
854	2471	419
855	2474	416
856	2476	413
857	2479	410
858	2482	407
859	2485	404
860	2487	401
861	2490	398
862	2492	395
863	2495	392
864	2498	389
865	2500	386
866	2503	384
867	2506	381
868	2508	378
869	2511	375
870	2513	372
871	2516	369
872	2518	366
873	2521	363
874	2524	360
875	2526	357
876	2529	354
877	2531	351
878	2534	348
879	2537	345
880	2539	343
881	2542	340
882	2544	337
883	2547	334
884	2550	331
885	2552	328
886	2555	325
887	2557	322
888	2559	319
889	2562	316
890	2564	313
891	2567	310
892	2570	307
893	2572	305
894	2575	302
895	2578	299
896	2580	296
897	2583	293
898	2585	290
899	2588	287
900	2590	284
901	2593	281
902	2595	278
903	2598	275
904	2600	273
905	2603	270
906	2605	267
907	2608	264
908	2610	261
909	2613	258
910	2615	255
911	2618	252
912	2620	249
913	2623	246
914	2626	243
915	2628	241
916	2631	238
917	2633	235
918	2636	232
919	2638	229
920	2641	226
921	2643	223
922	2646	220
923	2648	217
924	2651	214
925	2654	212
926	2656	209
927	2659	206
928	2662	203
929	2664	200
930	2667	197
931	2670	194
932	2672	191
933	2675	189
934	2677	186
935	2680	183
936	2682	180
937	2685	177
938	2687	174
939	2690	171
940	2692	168
941	2694	165
942	2697	163
943	2700	160
944	2702	157
945	2705	154
946	2707	151
947	2710	148
948	2713	145
949	2715	142
950	2718	140
951	2720	137
952	2723	134
953	2726	131
954	2728	128
955	2731	125
956	2733	122
957	2736	119
958	2738	117
959	2741	114
960	2744	111
961	2760	109
962	2763	106
963	2766	103
964	2769	100
965	2772	97
966	2775	94
967	2777	91
968	2780	88
969	2783	86
970	2786	83
971	2789	80
972	2792	77
973	2795	74
974	2797	71
975	2800	68
976	2803	65
977	2806	63
978	2808	60
979	2811	57
980	2814	54
981	2817	51
982	2820	48
983	2822	45
984	2825	43
985	2828	40
986	2831	37
987	2833	34
988	2836	31
989	2839	28
990	2841	25
991	2845	22
992	2848	20
993	2852	17
994	2855	14
995	2858	11
996	2861	8
997	2864	5
998	2867	2
999	2869	0
